text,merged_lexicon
l),adverb
)mrynN;,verb peal
"""pt""",No data
lm)y,preposition proclitic | preposition independent
nyxw$,verb peal
lh;,preposition with pronominal suffix
)y,conjunction
m$wM,preposition independent
xlwpy,verb pael
{{}}^x^mym),adjective singular absolute or construct
bqryr),preposition with pronominal suffix | adjective singular determined
myd(,verb peal
ydy(;,verb peal
dxyTy,preposition | noun pl. emphatic
b$(ry,preposition with pronominal suffix | noun pl. emphatic
nmy,adverb
myd(,verb peal
ydy(;,verb peal
m)y,preposition independent
)yk);,adverb
ky,preposition independent
hddy;,preposition independent
l),adverb
mxlyP;,verb pael
